Periode,Tanggal,Bulan,Minggu,Indikator_Harga,Fluktuasi_Tertinggi,Lag_1,Lag_2,Lag_3,Lag_4,MA_3,MA_7
65,2024-05-15,Mei'24,M3,2.08,0.09534518812,1.81,1.58,-3.43,-3.38,1.8233333333333335,-0.15804820275565268
66,2024-05-22,Mei'24,M4,1.89,0.09421114395,2.08,1.81,1.58,-3.43,1.9266666666666667,-0.4485714285714285
67,2024-05-29,Mei'24,M5,1.5,0.1325615336,1.89,2.08,1.81,1.58,1.8233333333333333,0.2928571428571428
68,2024-06-01,Juni'24,M1,-2.15,0.0486,1.5,1.89,2.08,1.81,0.4133333333333334,0.4685714285714286
69,2024-06-15,Juni'24,M3,-1.99,0.1213308298,-2.15,1.5,1.89,2.08,-0.8799999999999999,0.6742857142857144
70,2024-06-22,Juni'24,M4,-2.0,0.1198756012,-1.99,-2.15,1.5,1.89,-2.0466666666666664,0.1628571428571429
72,2024-07-08,Juli'24,M2,-1.19,0.09582659576,-1.16,-2.0,-1.99,-2.15,-1.45,-0.7285714285714285
73,2024-07-15,Juli'24,M3,-1.09,0.2328162843,-1.19,-1.16,-2.0,-1.99,-1.1466666666666665,-1.1542857142857144
74,2024-07-22,Juli'24,M4,-0.84,0.2766361649,-1.09,-1.19,-1.16,-2.0,-1.0399999999999998,-1.4885714285714287
75,2024-08-01,Agustus'24,M1,0.76,0.04804583838,-0.84,-1.09,-1.19,-1.16,-0.38999999999999996,-1.0728571428571427
76,2024-08-08,Agustus'24,M2,1.01,0.08561326348,0.76,-0.84,-1.09,-1.19,0.3100000000000001,-0.6442857142857142
